property_id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,sqft,lot_size,year_built,garage,property_type,condition,school_rating,crime_rate,walkability_score,public_transport_access,shopping_proximity,actual_price,listed_price,date_listed,date_sold,days_on_market,data_source,price_per_sqft,age,bed_bath_ratio,total_rooms
PROP_000001,91747 Reyes Station Suite 014,San Francisco,CA,79078,37.713954,-122.48975,4,2,2114,10935,1995,0,Single Family,Needs Work,4.3,2.5,71.4,1,1,1325903,1490404,2024-10-23,2024-10-29,6,MLS,627.2010406811731,29,2.0,6
PROP_000002,42109 Tina Row,Austin,TX,17984,30.312249,-97.728398,3,3,654,8873,2023,1,Condo,Needs Work,8.0,26.8,53.4,10,5,334713,374923,2024-09-19,2024-09-26,7,MLS,511.79357798165137,1,1.0,6
PROP_000003,77779 Nancy Prairie Apt. 950,Austin,TX,00882,30.243063,-97.723651,3,2,1118,8224,1990,0,Duplex,Fair,1.3,5.2,84.0,6,10,281913,298890,2024-12-22,2024-12-31,9,Realtor.com,252.15831842576029,34,1.5,5
PROP_000004,85507 Paul Rue,San Francisco,CA,56602,37.79223,-122.49212,4,1,2792,12299,1994,2,Duplex,Good,7.1,9.1,52.4,2,1,1491674,1609991,2024-03-06,2024-03-18,12,Zillow,534.2671919770773,30,4.0,5
PROP_000005,753 Acosta Roads Suite 241,Denver,CO,59414,39.655595,-104.972863,3,1,2756,8065,2008,2,Single Family,Good,6.7,2.8,54.7,5,2,668314,726112,2023-10-09,2023-10-25,16,Zillow,242.49419448476053,16,3.0,4
PROP_000006,54109 Brenda Field,Seattle,WA,38593,47.55399,-122.214922,1,2,1377,5598,1999,2,Condo,Excellent,5.9,2.0,54.3,4,1,462299,517227,2023-10-24,2023-11-21,28,Realtor.com,335.7291212781409,25,0.5,3
PROP_000007,06956 Jeffrey Viaduct,Atlanta,GA,42460,33.882873,-84.324726,2,1,2870,12738,1986,3,Townhouse,Needs Work,4.0,11.0,86.8,8,3,381103,412151,2023-09-18,2023-10-27,39,Realtor.com,132.7885017421603,38,2.0,3
PROP_000008,47913 Johnson Summit,Austin,TX,42656,30.252548,-97.741541,3,3,1703,8543,2016,2,Condo,Good,6.9,42.1,69.4,3,9,610872,696262,2025-09-02,2025-10-02,30,Direct,358.70346447445684,8,1.0,6
PROP_000009,606 Nichols Place,San Francisco,CA,89743,37.715998,-122.431952,2,2,3770,8304,1966,3,Single Family,Needs Work,4.5,4.7,33.3,9,5,1367266,1517174,2024-12-12,2024-12-21,9,MLS,362.6700265251989,58,1.0,4
PROP_000010,61181 Michael Isle Suite 821,San Francisco,CA,79814,37.72935,-122.484184,4,2,1228,13830,2005,2,Townhouse,Good,8.6,2.3,76.6,9,2,1078788,1133077,2025-06-16,2025-07-04,18,Realtor.com,878.4918566775244,19,2.0,6
